iteration,reward_mean,length_mean,games,loss
164000,-1.0,2.0,9,
164500,-1.0,2.0,8,
165000,-1.0,2.0,10,
165500,-0.8,2.2,10,
166000,-1.0,2.0,11,
166500,-1.0,2.0,9,
167000,-1.0,2.0,8,
167500,-1.0,2.0,8,
168000,-1.0,2.0,8,
168500,-1.0,2.0,9,
169000,-0.89,2.11,9,
169500,-0.89,2.11,9,
170000,-1.0,2.0,8,
170500,-1.0,2.0,8,
171000,-1.0,2.0,12,
171500,-1.0,2.0,8,
172000,-1.0,2.0,8,
172500,-1.0,2.0,9,
173000,-1.0,2.0,11,
173500,-1.0,2.0,8,
174000,-1.0,2.0,9,
174500,-1.0,2.0,9,
175000,-1.0,2.0,9,
175500,-1.0,2.0,10,
176000,-1.0,2.0,8,
176500,-1.0,2.0,12,
177000,-1.0,2.0,9,
177500,-1.0,2.0,10,
178000,-1.0,2.0,10,
178500,-1.0,2.0,8,
179000,-1.0,2.0,10,
179500,-1.0,2.0,12,
180000,-1.0,2.0,10,
180500,-1.0,2.0,8,
181000,-1.0,2.0,8,
181500,-1.0,2.0,8,
182000,-1.0,2.0,8,
182500,-1.0,2.0,10,
183000,-1.0,2.0,10,
183500,-1.0,2.0,8,
184000,-1.0,2.0,9,
184500,-1.0,2.0,10,
185000,-0.89,2.11,9,
185500,-1.0,2.0,10,
186000,-1.0,2.0,9,
186500,-1.0,2.0,8,
187000,-1.0,2.0,9,
187500,-1.0,2.0,10,
188000,-1.0,2.0,8,
188500,-1.0,2.0,8,
189000,-1.0,2.0,8,
189500,-1.0,2.0,9,
190000,-1.0,2.0,9,
190500,-1.0,2.0,9,
191000,-1.0,2.0,8,
191500,-1.0,2.0,9,
192000,-1.0,2.0,9,
192500,-0.73,2.27,11,
193000,-1.0,2.0,9,
193500,-1.0,2.0,8,
194000,-1.0,2.0,8,
194500,-1.0,2.0,9,
195000,-1.0,2.0,8,
195500,-1.0,2.0,8,
196000,-1.0,2.0,8,
196500,-1.0,2.0,8,
197000,-0.88,2.12,8,
197500,-1.0,2.0,10,
198000,-1.0,2.0,9,
198500,-1.0,2.0,8,
199000,-1.0,2.0,10,
199500,-1.0,2.0,9,
200000,-1.0,2.0,8,
